   CREATININASE-RXN hits 5.0 # CREATININASE-RXN
   SARCOX-RXN hits 11.5 # SARCOX-RXN
path 37 fam0 5 fam-found 1 # CYCLOHEXANOL-OXIDATION-PWY
   CYCLOHEXANONE-MONOOXYGENASE-RXN hits 5.0 # CYCLOHEXANONE-MONOOXYGENASE-RXN
path 38 fam0 9 fam-found 9 # DAPLYSINESYN-PWY
   ASPARTATEKIN-RXN hits 38.5 # ASPARTATEKIN-RXN
   ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN hits 30.5 # ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
   DIHYDRODIPICSYN-RXN hits 30.5 # DIHYDRODIPICSYN-RXN
   RXN-14014 hits 24.0 # RXN-14014
   TETHYDPICSUCC-RXN hits 11.0 # TETHYDPICSUCC-RXN
   SUCCINYLDIAMINOPIMTRANS-RXN hits 29.5 # SUCCINYLDIAMINOPIMTRANS-RXN
   SUCCDIAMINOPIMDESUCC-RXN hits 17.0 # SUCCDIAMINOPIMDESUCC-RXN
   DIAMINOPIMEPIM-RXN hits 18.0 # DIAMINOPIMEPIM-RXN
   DIAMINOPIMDECARB-RXN hits 24.0 # DIAMINOPIMDECARB-RXN
path 39 fam0 4 fam-found 3 # DARABCATK12-PWY
   DARABISOM-RXN hits 5.0 # DARABISOM-RXN
   DARABKIN-RXN hits 5.0 # DARABKIN-RXN
   DARABALDOL-RXN hits 11.5 # DARABALDOL-RXN
path 41 fam0 27 fam-found 25 # DENOVOPURINE2-PWY
   AMPSYN-RXN hits 30.5 # AMPSYN-RXN
   ADENYL-KIN-RXN hits 30.5 # ADENYL-KIN-RXN
   RXN0-747 hits 49.5 # RXN0-747
   ADPREDUCT-RXN hits 49.5 # ADPREDUCT-RXN
   DADPKIN-RXN hits 25.5 # DADPKIN-RXN
   RXN0-745 hits 24.0 # RXN0-745
   GMP-SYN-GLUT-RXN hits 30.5 # GMP-SYN-GLUT-RXN
   GUANYL-KIN-RXN hits 30.5 # GUANYL-KIN-RXN
   GDPKIN-RXN hits 25.5 # GDPKIN-RXN
   GDPREDUCT-RXN hits 49.5 # GDPREDUCT-RXN
   RXN0-748 hits 49.5 # RXN0-748
   DGDPKIN-RXN hits 25.5 # DGDPKIN-RXN
   RXN0-746 hits 24.0 # RXN0-746
   SAICARSYN-RXN hits 30.5 # SAICARSYN-RXN
   AICARSYN-RXN hits 30.5 # AICARSYN-RXN
   AICARTRANSFORM-RXN hits 30.5 # AICARTRANSFORM-RXN
